# Started: 2026-05-09T22:25:24.3692703+02:00
# Command: backend\.venv\Scripts\python.exe -u -m backend.scripts.training_experiments.run_experiments --include-optional-boosters --skip-lstm --station Control_59_3-3_O --station RDC_62_6-3_O --station Secano_53_3-2_O --output-dir backend/scripts/training_experiments/results/full_platform_no_telemetry

2026-05-09 22:25:44,651 INFO Station Control_59_3-3_O: rows=448, holdout_idx=380, platform_inputs=humedad_Hd05,humedad_Hd15,humedad_Hd25,humedad_Hd35,humedad_Hd45,humedad_Hd55,humedad_Hd65,humedad_Hd75,tmax,tmin,pluv,dpv
2026-05-09 22:25:46,888 INFO Control_59_3-3_O | MCD | HistGB | HistGB#BASELINE W=7 V=basic rmse=191.2635±150.8681 ho=106.7523 t=2.1s OK
2026-05-09 22:31:31,658 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#011 W=3 V=ema rmse=184.4759±141.3224 ho=98.9155 t=2.7s OK
2026-05-09 22:31:40,151 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#012 W=7 V=stress_indices rmse=127.6217±68.2900 ho=89.8069 t=5.8s OK
2026-05-09 22:31:42,327 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#013 W=21 V=stress_indices rmse=149.7657±85.1489 ho=106.1226 t=1.4s OK
2026-05-09 22:31:50,785 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#014 W=7 V=multi_roll rmse=131.5738±74.3904 ho=93.6930 t=5.8s OK
2026-05-09 22:32:46,535 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#015 W=28 V=multi_roll rmse=166.5976±115.8804 ho=94.8505 t=37.1s OK
2026-05-09 22:34:41,680 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#016 W=35 V=stress_indices rmse=158.5450±117.9460 ho=99.1991 t=70.6s OK
2026-05-09 22:36:28,904 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#017 W=35 V=stress_indices rmse=147.3095±90.8060 ho=99.1420 t=70.1s OK
2026-05-09 22:36:50,523 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#018 W=7 V=calendar rmse=162.7029±97.8524 ho=103.5151 t=12.3s OK
2026-05-09 22:36:54,466 INFO Control_59_3-3_O | MCD | GradientBoosting | GradientBoosting#019 W=21 V=multi_roll rmse=191.7137±111.0169 ho=114.2398 t=2.9s OK
2026-05-09 22:36:54,580 INFO Control_59_3-3_O | MCD | KNeighbors | KNeighbors#000 W=21 V=soil_profile rmse=nan±nan ho=nan t=0.1s ERR early_stopped_worse_than_baseline
2026-05-09 22:36:54,612 INFO Control_59_3-3_O | MCD | KNeighbors | KNeighbors#001 W=2 V=ema rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:36:54,822 INFO Control_59_3-3_O | MCD | KNeighbors | KNeighbors#002 W=21 V=stress_indices rmse=244.1443±109.7443 ho=199.7382 t=0.1s OK
